2025-09-09 20:32:50 - root - INFO - 日志系统初始化完成，日志文件: /Volumes/SumSung500/CSU/0_HiRES/4_contact_decay_profile_2_h5ad/json2h5ad/logs/stage_E75_processing_20250909_203250.log
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751031_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751033_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751034_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751038_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751039_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751040_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751043_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751045_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751046_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751047_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751054_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751055_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751056_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751057_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751058_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751059_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751061_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751062_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751064_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751067_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751071_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751072_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751073_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751074_decay_profile.json distances不是递增序列
2025-09-09 20:32:51 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751076_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751081_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751084_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751085_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751086_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751088_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751089_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751094_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751095_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751096_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751097_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751101_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751102_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751103_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751105_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751107_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751108_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751109_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751114_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751115_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751116_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751117_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751118_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751120_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751121_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751122_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751123_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751125_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751128_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751130_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751134_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751135_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751139_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751140_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751143_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751144_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751145_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751146_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751147_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751149_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751150_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751153_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751154_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751155_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751157_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751158_decay_profile.json distances不是递增序列
2025-09-09 20:32:52 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751161_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751162_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751163_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751165_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751167_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751169_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751171_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751172_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751173_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751175_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751180_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751185_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751189_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751191_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751192_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751194_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751195_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751196_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - utils - INFO - 处理 Stage E75 JSON文件: 100/115 (87.0%) - 已用时: 2.2s - 预计剩余: 0.3s
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751197_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751198_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751199_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751205_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751207_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751209_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751212_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751216_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751220_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751222_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751223_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751232_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751234_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751239_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - data_validator - ERROR - 文件 /Volumes/SumSung500/CSU/0_HiRES/3_create_contact_decay_profile/outputs/stage_E75/GasaE751242_decay_profile.json distances不是递增序列
2025-09-09 20:32:53 - utils - INFO - 处理 Stage E75 JSON文件: 115/115 (100.0%) - 已用时: 2.5s - 预计剩余: 0.0s
2025-09-09 20:32:53 - utils - INFO - 处理 Stage E75 JSON文件 完成! 总用时: 2.5s
2025-09-09 20:32:53 - root - INFO - 成功处理 0 个文件
2025-09-09 20:32:53 - root - INFO - 处理 Stage E75 的 115 个文件 完成 - 用时: 2.5s - 内存变化: +16.5 MB
2025-09-09 20:32:53 - root - ERROR - Stage E75 没有有效数据
