filename,filepath,cellname,stage,celltype
GSM7001979_OrgaE952333.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001979_OrgaE952333.pairs.gz,OrgaE952333,E95,mix late mesenchyme
GSM7001803_OrgaE952137.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001803_OrgaE952137.pairs.gz,OrgaE952137,E95,radial glias
GSM7001795_OrgaE952129.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001795_OrgaE952129.pairs.gz,OrgaE952129,E95,intermediate mesoderm
GSM7002027_OrgaE952381.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7002027_OrgaE952381.pairs.gz,OrgaE952381,E95,early neurons
GSM7001927_OrgaE952280.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001927_OrgaE952280.pairs.gz,OrgaE952280,E95,radial glias
GSM7004387_OrgcE953365.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004387_OrgcE953365.pairs.gz,OrgcE953365,E95,epithelial cells
GSM7004007_OrgcE952364.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004007_OrgcE952364.pairs.gz,OrgcE952364,E95,mix late mesenchyme
GSM7003726_OrgcE952075.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003726_OrgcE952075.pairs.gz,OrgcE952075,E95,blood
GSM7003698_OrgcE952047.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003698_OrgcE952047.pairs.gz,OrgcE952047,E95,NMP
GSM7003685_OrgcE952034.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003685_OrgcE952034.pairs.gz,OrgcE952034,E95,radial glias
GSM7001993_OrgaE952347.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001993_OrgaE952347.pairs.gz,OrgaE952347,E95,radial glias
GSM7004310_OrgcE953287.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004310_OrgcE953287.pairs.gz,OrgcE953287,E95,early mesenchyme
GSM7003948_OrgcE952304.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003948_OrgcE952304.pairs.gz,OrgcE952304,E95,early neurons
GSM7001971_OrgaE952325.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001971_OrgaE952325.pairs.gz,OrgaE952325,E95,epithelial cells
GSM7003702_OrgcE952051.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003702_OrgcE952051.pairs.gz,OrgcE952051,E95,mix late mesenchyme
GSM7001974_OrgaE952328.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001974_OrgaE952328.pairs.gz,OrgaE952328,E95,mix late mesenchyme
GSM7003964_OrgcE952320.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003964_OrgcE952320.pairs.gz,OrgcE952320,E95,intermediate mesoderm
GSM7001980_OrgaE952334.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001980_OrgaE952334.pairs.gz,OrgaE952334,E95,radial glias
GSM7001995_OrgaE952349.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001995_OrgaE952349.pairs.gz,OrgaE952349,E95,intermediate mesoderm
GSM7004156_OrgcE953129.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004156_OrgcE953129.pairs.gz,OrgcE953129,E95,early mesoderm
GSM7004137_OrgcE953110.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004137_OrgcE953110.pairs.gz,OrgcE953110,E95,early mesenchyme
GSM7003971_OrgcE952327.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003971_OrgcE952327.pairs.gz,OrgcE952327,E95,blood
GSM7003881_OrgcE952232.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003881_OrgcE952232.pairs.gz,OrgcE952232,E95,early mesenchyme
GSM7001901_OrgaE952252.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001901_OrgaE952252.pairs.gz,OrgaE952252,E95,neural tube
GSM7003977_OrgcE952333.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003977_OrgcE952333.pairs.gz,OrgcE952333,E95,epithelial cells
GSM7001702_OrgaE952031.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001702_OrgaE952031.pairs.gz,OrgaE952031,E95,radial glias
GSM7003932_OrgcE952287.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003932_OrgcE952287.pairs.gz,OrgcE952287,E95,epithelial cells
GSM7003823_OrgcE952173.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003823_OrgcE952173.pairs.gz,OrgcE952173,E95,epithelial cells
GSM7001675_OrgaE952003.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001675_OrgaE952003.pairs.gz,OrgaE952003,E95,blood
GSM7001851_OrgaE952201.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001851_OrgaE952201.pairs.gz,OrgaE952201,E95,early neurons
GSM7004118_OrgcE953091.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004118_OrgcE953091.pairs.gz,OrgcE953091,E95,notochord
GSM7004055_OrgcE953028.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004055_OrgcE953028.pairs.gz,OrgcE953028,E95,epithelial cells
GSM7003684_OrgcE952033.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003684_OrgcE952033.pairs.gz,OrgcE952033,E95,epithelial cells
GSM7001695_OrgaE952024.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001695_OrgaE952024.pairs.gz,OrgaE952024,E95,mitosis
GSM7004290_OrgcE953267.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004290_OrgcE953267.pairs.gz,OrgcE953267,E95,early mesenchyme
GSM7004030_OrgcE953003.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004030_OrgcE953003.pairs.gz,OrgcE953003,E95,early neurons
GSM7001738_OrgaE952071.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001738_OrgaE952071.pairs.gz,OrgaE952071,E95,early mesenchyme
GSM7003937_OrgcE952292.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003937_OrgcE952292.pairs.gz,OrgcE952292,E95,blood
GSM7004219_OrgcE953194.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004219_OrgcE953194.pairs.gz,OrgcE953194,E95,mitosis
GSM7001998_OrgaE952352.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001998_OrgaE952352.pairs.gz,OrgaE952352,E95,radial glias
GSM7001789_OrgaE952123.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001789_OrgaE952123.pairs.gz,OrgaE952123,E95,notochord
GSM7004235_OrgcE953210.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004235_OrgcE953210.pairs.gz,OrgcE953210,E95,notochord
GSM7003783_OrgcE952133.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003783_OrgcE952133.pairs.gz,OrgcE952133,E95,epithelial cells
GSM7003771_OrgcE952121.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003771_OrgcE952121.pairs.gz,OrgcE952121,E95,early mesenchyme
GSM7003982_OrgcE952338.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003982_OrgcE952338.pairs.gz,OrgcE952338,E95,intermediate mesoderm
GSM7001705_OrgaE952034.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001705_OrgaE952034.pairs.gz,OrgaE952034,E95,radial glias
GSM7003841_OrgcE952191.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003841_OrgcE952191.pairs.gz,OrgcE952191,E95,radial glias
GSM7003844_OrgcE952195.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003844_OrgcE952195.pairs.gz,OrgcE952195,E95,early mesoderm
GSM7003857_OrgcE952208.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003857_OrgcE952208.pairs.gz,OrgcE952208,E95,neural tube
GSM7004100_OrgcE953073.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004100_OrgcE953073.pairs.gz,OrgcE953073,E95,intermediate mesoderm
GSM7004159_OrgcE953132.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004159_OrgcE953132.pairs.gz,OrgcE953132,E95,radial glias
GSM7004250_OrgcE953225.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004250_OrgcE953225.pairs.gz,OrgcE953225,E95,notochord
GSM7004223_OrgcE953198.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004223_OrgcE953198.pairs.gz,OrgcE953198,E95,radial glias
GSM7004288_OrgcE953265.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004288_OrgcE953265.pairs.gz,OrgcE953265,E95,mix late mesenchyme
GSM7001850_OrgaE952200.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001850_OrgaE952200.pairs.gz,OrgaE952200,E95,mitosis
GSM7004185_OrgcE953159.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004185_OrgcE953159.pairs.gz,OrgcE953159,E95,mix late mesenchyme
GSM7003667_OrgcE952015.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003667_OrgcE952015.pairs.gz,OrgcE952015,E95,mitosis
GSM7004148_OrgcE953121.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004148_OrgcE953121.pairs.gz,OrgcE953121,E95,mix late mesenchyme
GSM7001920_OrgaE952273.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001920_OrgaE952273.pairs.gz,OrgaE952273,E95,mitosis
GSM7003978_OrgcE952334.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003978_OrgcE952334.pairs.gz,OrgcE952334,E95,mitosis
GSM7004360_OrgcE953338.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004360_OrgcE953338.pairs.gz,OrgcE953338,E95,mix late mesenchyme
GSM7003715_OrgcE952064.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003715_OrgcE952064.pairs.gz,OrgcE952064,E95,early mesenchyme
GSM7003686_OrgcE952035.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003686_OrgcE952035.pairs.gz,OrgcE952035,E95,intermediate mesoderm
GSM7004326_OrgcE953303.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004326_OrgcE953303.pairs.gz,OrgcE953303,E95,radial glias
GSM7004056_OrgcE953029.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004056_OrgcE953029.pairs.gz,OrgcE953029,E95,mix late mesenchyme
GSM7004286_OrgcE953263.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004286_OrgcE953263.pairs.gz,OrgcE953263,E95,notochord
GSM7003891_OrgcE952243.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003891_OrgcE952243.pairs.gz,OrgcE952243,E95,mix late mesenchyme
GSM7004066_OrgcE953039.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004066_OrgcE953039.pairs.gz,OrgcE953039,E95,radial glias
GSM7003662_OrgcE952010.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003662_OrgcE952010.pairs.gz,OrgcE952010,E95,ExE endoderm
GSM7001870_OrgaE952220.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001870_OrgaE952220.pairs.gz,OrgaE952220,E95,blood
GSM7003930_OrgcE952285.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003930_OrgcE952285.pairs.gz,OrgcE952285,E95,blood
GSM7004073_OrgcE953046.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004073_OrgcE953046.pairs.gz,OrgcE953046,E95,radial glias
GSM7003710_OrgcE952059.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003710_OrgcE952059.pairs.gz,OrgcE952059,E95,blood
GSM7004065_OrgcE953038.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7004065_OrgcE953038.pairs.gz,OrgcE953038,E95,oligodendrocytes and progenitors
GSM7003985_OrgcE952341.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003985_OrgcE952341.pairs.gz,OrgcE952341,E95,mitosis
GSM7003899_OrgcE952252.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003899_OrgcE952252.pairs.gz,OrgcE952252,E95,notochord
GSM7003842_OrgcE952193.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003842_OrgcE952193.pairs.gz,OrgcE952193,E95,neural tube
GSM7001838_OrgaE952188.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7001838_OrgaE952188.pairs.gz,OrgaE952188,E95,radial glias
GSM7003826_OrgcE952176.pairs.gz,/home/duxuyan/Projects/0_HiRES/data/GSE223917_RAW/GSM7003826_OrgcE952176.pairs.gz,OrgcE952176,E95,epithelial cells
