filename,chromosome_count,cellname,stage,celltype
GSM6998660,20,GasaE751067,E75,neural ectoderm
GSM6998661,21,GasaE751068,E75,mitosis
GSM6998662,21,GasaE751069,E75,ExE endoderm
GSM6998663,21,GasaE751070,E75,neural ectoderm
GSM6998664,20,GasaE751071,E75,ExE ectoderm
GSM6998665,20,GasaE751072,E75,early mesoderm
GSM6998666,20,GasaE751073,E75,early mesoderm
GSM6998667,20,GasaE751074,E75,neural ectoderm
GSM6998668,21,GasaE751075,E75,epithelial cells
GSM6998669,20,GasaE751076,E75,mitosis
GSM6998670,21,GasaE751077,E75,early mesenchyme
GSM6998671,21,GasaE751078,E75,blood
GSM6998672,21,GasaE751079,E75,neural ectoderm
GSM6998673,21,GasaE751080,E75,neural ectoderm
GSM6998674,20,GasaE751081,E75,neural ectoderm
GSM6998675,21,GasaE751082,E75,endoderm
GSM6998676,21,GasaE751083,E75,neural ectoderm
GSM6998677,20,GasaE751084,E75,mitosis
GSM6998678,20,GasaE751085,E75,early mesenchyme
GSM6998679,20,GasaE751086,E75,ExE endoderm
GSM6998680,21,GasaE751087,E75,early mesoderm
GSM6998681,20,GasaE751088,E75,epithelial cells
GSM6998682,20,GasaE751089,E75,neural ectoderm
GSM6998683,21,GasaE751090,E75,early mesoderm
GSM6998684,21,GasaE751092,E75,epithelial cells
GSM6998685,21,GasaE751093,E75,early mesenchyme
GSM6998686,20,GasaE751094,E75,neural ectoderm
GSM6998687,20,GasaE751095,E75,early mesenchyme
GSM6998688,20,GasaE751096,E75,mitosis
GSM6998689,20,GasaE751097,E75,ExE ectoderm
GSM6998690,21,GasaE751098,E75,ExE endoderm
GSM6998691,21,GasaE751099,E75,neural ectoderm
GSM6998692,21,GasaE751100,E75,blood
GSM6998693,20,GasaE751101,E75,ExE mesoderm
GSM6998694,20,GasaE751102,E75,ExE ectoderm
GSM6998695,20,GasaE751103,E75,early mesoderm
GSM6998696,21,GasaE751104,E75,neural ectoderm
GSM6998697,20,GasaE751105,E75,neural ectoderm
GSM6998698,21,GasaE751106,E75,ExE endoderm
GSM6998699,20,GasaE751107,E75,ExE mesoderm
GSM6998700,20,GasaE751108,E75,early mesenchyme
GSM6998701,20,GasaE751109,E75,ExE ectoderm
GSM6998702,21,GasaE751110,E75,early mesenchyme
GSM6998703,21,GasaE751111,E75,mitosis
GSM6998704,21,GasaE751112,E75,blood
GSM6998705,21,GasaE751113,E75,early mesenchyme
GSM6998706,20,GasaE751114,E75,epithelial cells
GSM6998707,20,GasaE751115,E75,ExE mesoderm
GSM6998708,20,GasaE751116,E75,ExE ectoderm
GSM6998709,20,GasaE751117,E75,blood
GSM6998710,20,GasaE751118,E75,ExE mesoderm
GSM6998711,21,GasaE751119,E75,ExE mesoderm
GSM6998712,20,GasaE751120,E75,ExE endoderm
GSM6998713,20,GasaE751121,E75,neural ectoderm
GSM6998714,20,GasaE751122,E75,ExE mesoderm
GSM6998715,20,GasaE751123,E75,mitosis
GSM6998716,21,GasaE751124,E75,blood
GSM6998717,20,GasaE751125,E75,early mesenchyme
GSM6998718,21,GasaE751126,E75,neural ectoderm
GSM6998719,21,GasaE751127,E75,early mesenchyme
GSM6998720,20,GasaE751128,E75,neural ectoderm
GSM6998721,21,GasaE751129,E75,ExE ectoderm
GSM6998722,20,GasaE751130,E75,blood
GSM6998723,21,GasaE751131,E75,early mesoderm
GSM6998724,21,GasaE751132,E75,ExE ectoderm
GSM6998725,21,GasaE751133,E75,neural ectoderm
GSM6998726,20,GasaE751134,E75,epithelial cells
GSM6998727,20,GasaE751135,E75,ExE ectoderm
GSM6998728,21,GasaE751136,E75,early mesenchyme
GSM6998729,21,GasaE751137,E75,ExE mesoderm
GSM6998730,21,GasaE751138,E75,neural ectoderm
GSM6998731,20,GasaE751139,E75,ExE endoderm
GSM6998732,20,GasaE751140,E75,ExE endoderm
GSM6998733,21,GasaE751141,E75,neural ectoderm
GSM6998734,21,GasaE751142,E75,neural ectoderm
GSM6998735,20,GasaE751143,E75,ExE ectoderm
GSM6998736,20,GasaE751144,E75,early mesoderm
GSM6998737,20,GasaE751145,E75,early mesoderm
GSM6998738,20,GasaE751146,E75,ExE ectoderm
GSM6998739,20,GasaE751147,E75,early mesoderm
GSM6998740,21,GasaE751148,E75,mitosis
GSM6998741,20,GasaE751149,E75,ExE endoderm
GSM6998742,20,GasaE751150,E75,neural ectoderm
GSM6998743,21,GasaE751151,E75,blood
GSM6998744,21,GasaE751152,E75,ExE mesoderm
GSM6998745,20,GasaE751153,E75,mitosis
GSM6998746,20,GasaE751154,E75,ExE endoderm
GSM6998747,20,GasaE751155,E75,ExE endoderm
GSM6998748,21,GasaE751156,E75,early mesoderm
GSM6998749,20,GasaE751157,E75,ExE mesoderm
GSM6998750,20,GasaE751158,E75,mitosis
GSM6998751,21,GasaE751159,E75,ExE ectoderm
GSM6998752,21,GasaE751160,E75,ExE ectoderm
GSM6998753,20,GasaE751161,E75,ExE ectoderm
GSM6998754,20,GasaE751162,E75,endoderm
GSM6998755,20,GasaE751163,E75,ExE ectoderm
GSM6998756,21,GasaE751164,E75,neural ectoderm
GSM6998757,20,GasaE751165,E75,neural ectoderm
GSM6998758,21,GasaE751166,E75,ExE mesoderm
GSM6998759,20,GasaE751167,E75,early mesenchyme
GSM6998760,21,GasaE751168,E75,mitosis
GSM6998761,20,GasaE751169,E75,ExE endoderm
GSM6998762,21,GasaE751170,E75,blood
GSM6998763,20,GasaE751171,E75,ExE ectoderm
GSM6998764,20,GasaE751172,E75,neural ectoderm
GSM6998765,20,GasaE751173,E75,ExE endoderm
GSM6998766,21,GasaE751174,E75,ExE ectoderm
GSM6998767,20,GasaE751175,E75,mitosis
GSM6998768,21,GasaE751176,E75,endoderm
GSM6998769,21,GasaE751177,E75,neural ectoderm
GSM6998770,21,GasaE751178,E75,epithelial cells
GSM6998771,21,GasaE751179,E75,early mesoderm
GSM6998772,20,GasaE751180,E75,ExE endoderm
GSM6998773,21,GasaE751181,E75,epithelial cells
GSM6998774,21,GasaE751183,E75,early mesoderm
GSM6998775,21,GasaE751184,E75,ExE endoderm
GSM6998776,20,GasaE751185,E75,neural ectoderm
GSM6998777,21,GasaE751186,E75,ExE mesoderm
GSM6998778,21,GasaE751187,E75,blood
GSM6998779,21,GasaE751188,E75,ExE endoderm
GSM6998780,20,GasaE751189,E75,blood
GSM6998781,21,GasaE751190,E75,mitosis
GSM6998782,20,GasaE751191,E75,endoderm
GSM6998783,20,GasaE751192,E75,ExE ectoderm
GSM6998784,21,GasaE751193,E75,neural ectoderm
GSM6998785,20,GasaE751194,E75,ExE ectoderm
GSM6998786,20,GasaE751195,E75,ExE endoderm
GSM6998787,20,GasaE751196,E75,ExE ectoderm
GSM6998788,20,GasaE751197,E75,early mesoderm
GSM6998790,20,GasaE751198,E75,ExE ectoderm
GSM6998795,20,GasaE751199,E75,mitosis
GSM6998800,21,GasaE751200,E75,ExE ectoderm
GSM6998805,21,GasaE751201,E75,ExE endoderm
GSM6998811,21,GasaE751202,E75,neural ectoderm
GSM6998816,21,GasaE751203,E75,ExE ectoderm
GSM6998821,21,GasaE751204,E75,ExE endoderm
GSM6998826,20,GasaE751205,E75,ExE endoderm
GSM6998832,21,GasaE751206,E75,neural ectoderm
GSM6998839,20,GasaE751207,E75,blood
GSM6998845,21,GasaE751208,E75,endoderm
GSM6998847,20,GasaE751209,E75,ExE endoderm
GSM6998848,21,GasaE751210,E75,neural ectoderm
GSM6998849,20,GasaE751212,E75,neural ectoderm
GSM6998850,21,GasaE751213,E75,neural ectoderm
GSM6998851,21,GasaE751214,E75,mitosis
GSM6998852,21,GasaE751215,E75,endoderm
GSM6998853,20,GasaE751216,E75,ExE mesoderm
GSM6998854,21,GasaE751217,E75,ExE endoderm
GSM6998855,21,GasaE751218,E75,early mesenchyme
GSM6998856,21,GasaE751219,E75,ExE mesoderm
GSM6998857,20,GasaE751220,E75,ExE endoderm
GSM6998858,21,GasaE751221,E75,early mesenchyme
GSM6998859,20,GasaE751222,E75,epiblast and PS
GSM6998860,20,GasaE751223,E75,ExE ectoderm
GSM6998861,21,GasaE751224,E75,neural ectoderm
GSM6998862,21,GasaE751225,E75,blood
GSM6998863,21,GasaE751226,E75,early mesoderm
GSM6998864,21,GasaE751227,E75,ExE ectoderm
GSM6998865,21,GasaE751228,E75,neural ectoderm
GSM6998866,21,GasaE751229,E75,ExE mesoderm
GSM6998867,21,GasaE751230,E75,endoderm
GSM6998868,21,GasaE751231,E75,neural ectoderm
GSM6998869,20,GasaE751232,E75,endoderm
GSM6998870,21,GasaE751233,E75,ExE ectoderm
GSM6998871,20,GasaE751234,E75,ExE ectoderm
GSM6998872,21,GasaE751235,E75,neural ectoderm
GSM6998873,20,GasaE751236,E75,neural ectoderm
GSM6998874,21,GasaE751237,E75,ExE endoderm
GSM6998875,21,GasaE751238,E75,epithelial cells
GSM6998876,20,GasaE751239,E75,ExE ectoderm
GSM6998877,21,GasaE751240,E75,ExE endoderm
GSM6998878,20,GasaE751242,E75,mitosis
GSM6998879,21,GasaE751243,E75,early mesenchyme
GSM6998880,21,GasaE751245,E75,ExE mesoderm
GSM6998881,20,GasaE751246,E75,neural ectoderm
GSM6998882,21,GasaE751247,E75,ExE endoderm
GSM6998883,21,GasaE751248,E75,epithelial cells
GSM6998884,21,GasaE751249,E75,neural ectoderm
GSM6998885,21,GasaE751250,E75,early mesoderm
GSM6998886,21,GasaE751251,E75,early mesenchyme
GSM6998887,20,GasaE751252,E75,early mesoderm
GSM6998888,21,GasaE751253,E75,early mesenchyme
GSM6998889,20,GasaE751254,E75,ExE ectoderm
GSM6998890,21,GasaE751255,E75,mitosis
GSM6998891,21,GasaE751256,E75,ExE endoderm
GSM6998892,21,GasaE751258,E75,blood
GSM6998893,21,GasaE751259,E75,neural ectoderm
GSM6998894,20,GasaE751260,E75,blood
GSM6998895,21,GasaE751261,E75,mitosis
GSM6998896,20,GasaE751262,E75,epiblast and PS
GSM6998897,20,GasaE751263,E75,early mesoderm
GSM6998898,21,GasaE751264,E75,neural ectoderm
GSM6998899,21,GasaE751265,E75,blood
GSM6998900,20,GasaE751266,E75,early mesenchyme
GSM6998901,20,GasaE751267,E75,ExE endoderm
GSM6998902,21,GasaE751268,E75,mitosis
GSM6998903,20,GasaE751269,E75,early mesoderm
GSM6998904,21,GasaE751270,E75,early mesoderm
GSM6998905,21,GasaE751271,E75,ExE endoderm
GSM6998906,20,GasaE751272,E75,ExE endoderm
GSM6998907,20,GasaE751273,E75,early mesoderm
GSM6998908,21,GasaE751274,E75,neural ectoderm
GSM6998909,21,GasaE751275,E75,ExE endoderm
GSM6998910,21,GasaE751276,E75,blood
GSM6998911,20,GasaE751277,E75,mitosis
GSM6998912,20,GasaE751278,E75,ExE ectoderm
GSM6998913,20,GasaE751279,E75,ExE endoderm
GSM6998914,21,GasaE751280,E75,ExE endoderm
GSM6998915,20,GasaE751281,E75,ExE ectoderm
GSM6998916,21,GasaE751282,E75,ExE ectoderm
GSM6998917,20,GasaE751283,E75,neural ectoderm
GSM6998918,21,GasaE751284,E75,blood
GSM6998919,21,GasaE751287,E75,neural ectoderm
GSM6998920,20,GasaE751288,E75,ExE ectoderm
GSM6998921,21,GasaE751289,E75,early mesenchyme
GSM6998922,21,GasaE751290,E75,blood
GSM6998923,20,GasaE751291,E75,blood
GSM6998924,20,GasaE751292,E75,early mesoderm
GSM6998925,21,GasaE751293,E75,ExE endoderm
GSM6998926,20,GasaE751294,E75,mitosis
GSM6998927,20,GasaE751295,E75,blood
GSM6998928,21,GasaE751296,E75,mitosis
GSM6998929,21,GasaE751297,E75,blood
GSM6998930,20,GasaE751298,E75,neural ectoderm
GSM6998931,20,GasaE751299,E75,ExE ectoderm
GSM6998932,21,GasaE751300,E75,early mesenchyme
GSM6998933,20,GasaE751301,E75,ExE endoderm
GSM6998934,21,GasaE751302,E75,neural ectoderm
GSM6998935,21,GasaE751303,E75,mitosis
GSM6998936,20,GasaE751304,E75,neural ectoderm
GSM6998937,20,GasaE751305,E75,mitosis
GSM6998938,20,GasaE751306,E75,ExE ectoderm
GSM6998939,21,GasaE751307,E75,neural ectoderm
GSM6998940,21,GasaE751308,E75,ExE ectoderm
GSM6998941,21,GasaE751309,E75,neural ectoderm
GSM6998942,21,GasaE751310,E75,neural ectoderm
GSM6998943,20,GasaE751311,E75,endoderm
GSM6998944,20,GasaE751312,E75,ExE endoderm
GSM6998945,21,GasaE751313,E75,neural ectoderm
GSM6998946,20,GasaE751314,E75,neural ectoderm
GSM6998947,20,GasaE751315,E75,early mesoderm
GSM6998948,21,GasaE751316,E75,neural ectoderm
GSM6998949,20,GasaE751317,E75,mitosis
GSM6998950,20,GasaE751318,E75,ExE ectoderm
GSM6998951,21,GasaE751319,E75,neural ectoderm
GSM6998952,21,GasaE751321,E75,ExE mesoderm
GSM6998953,20,GasaE751322,E75,ExE ectoderm
GSM6998954,20,GasaE751323,E75,ExE mesoderm
GSM6998955,21,GasaE751324,E75,neural ectoderm
GSM6998956,20,GasaE751325,E75,blood
GSM6998957,21,GasaE751326,E75,early mesenchyme
GSM6998958,21,GasaE751327,E75,ExE endoderm
GSM6998959,21,GasaE751328,E75,mitosis
GSM6998960,21,GasaE751329,E75,neural ectoderm
GSM6998961,21,GasaE751330,E75,ExE mesoderm
GSM6998962,21,GasaE751331,E75,neural ectoderm
GSM6998963,21,GasaE751332,E75,blood
GSM6998964,20,GasaE751333,E75,ExE ectoderm
GSM6998965,21,GasaE751334,E75,ExE mesoderm
GSM6998966,21,GasaE751335,E75,endoderm
GSM6998967,20,GasaE751336,E75,ExE endoderm
GSM6998968,20,GasaE751337,E75,ExE endoderm
GSM6998969,20,GasaE751338,E75,early mesoderm
GSM6998970,21,GasaE751339,E75,neural ectoderm
GSM6998971,20,GasaE751340,E75,ExE ectoderm
GSM6998972,20,GasaE751341,E75,mitosis
GSM6998973,21,GasaE751342,E75,early mesoderm
GSM6998974,21,GasaE751343,E75,neural ectoderm
GSM6998975,20,GasaE751344,E75,early mesenchyme
GSM6998976,20,GasaE751345,E75,neural ectoderm
GSM6998977,21,GasaE751346,E75,ExE endoderm
GSM6998978,20,GasaE751347,E75,early mesenchyme
GSM6998979,21,GasaE751348,E75,mitosis
GSM6998980,21,GasaE751349,E75,early mesoderm
GSM6998981,20,GasaE751350,E75,endoderm
GSM6998982,20,GasaE751351,E75,ExE endoderm
GSM6998983,21,GasaE751352,E75,ExE mesoderm
GSM6998984,20,GasaE751353,E75,mitosis
GSM6998985,20,GasaE751354,E75,neural ectoderm
GSM6998986,21,GasaE751355,E75,ExE ectoderm
GSM6998987,21,GasaE751356,E75,blood
GSM6998988,21,GasaE751357,E75,neural ectoderm
GSM6998989,21,GasaE751358,E75,neural ectoderm
GSM6998990,20,GasaE751359,E75,ExE endoderm
GSM6998991,21,GasaE751360,E75,early mesenchyme
GSM6998992,20,GasaE751361,E75,neural ectoderm
GSM6998993,21,GasaE751362,E75,blood
GSM6998994,20,GasaE751363,E75,neural ectoderm
GSM6998995,21,GasaE751365,E75,neural ectoderm
GSM6998996,20,GasaE751366,E75,blood
GSM6998997,21,GasaE751367,E75,early mesenchyme
GSM6998998,21,GasaE751368,E75,early mesoderm
GSM6998999,21,GasaE751369,E75,neural ectoderm
GSM6999000,21,GasaE751370,E75,neural ectoderm
GSM6999001,21,GasaE751371,E75,neural ectoderm
GSM6999002,20,GasaE751372,E75,ExE mesoderm
GSM6999003,20,GasaE751373,E75,ExE ectoderm
GSM6999004,21,GasaE751374,E75,ExE ectoderm
GSM6999005,21,GasaE751375,E75,neural ectoderm
GSM6999006,20,GasaE751376,E75,mitosis
GSM6999007,20,GasaE751377,E75,ExE ectoderm
GSM6999008,20,GasaE751378,E75,epithelial cells
GSM6999009,20,GasaE751379,E75,ExE endoderm
GSM6999010,20,GasaE751380,E75,neural ectoderm
GSM6999011,20,GasaE751381,E75,ExE ectoderm
GSM6999012,21,GasaE751382,E75,ExE ectoderm
GSM6999013,20,GasaE751383,E75,ExE ectoderm
GSM6999014,20,GasaE751384,E75,ExE ectoderm
GSM6999015,21,GasbE751009,E75,neural ectoderm
GSM6999016,21,GasbE751010,E75,ExE endoderm
GSM6999017,20,GasbE751011,E75,blood
GSM6999018,21,GasbE751012,E75,neural ectoderm
GSM6999019,21,GasbE751013,E75,ExE ectoderm
GSM6999020,21,GasbE751014,E75,ExE mesoderm
GSM6999021,21,GasbE751015,E75,blood
GSM6999022,21,GasbE751016,E75,early mesenchyme
GSM6999023,21,GasbE751017,E75,ExE ectoderm
GSM6999024,21,GasbE751018,E75,mitosis
GSM6999025,20,GasbE751019,E75,neural ectoderm
GSM6999026,21,GasbE751020,E75,ExE ectoderm
GSM6999027,21,GasbE751021,E75,ExE ectoderm
GSM6999028,21,GasbE751022,E75,ExE ectoderm
GSM6999029,20,GasbE751023,E75,blood
GSM6999030,20,GasbE751024,E75,ExE ectoderm
GSM6999031,21,GasbE751025,E75,epiblast and PS
GSM6999032,21,GasbE751026,E75,blood
GSM6999033,20,GasbE751027,E75,ExE endoderm
GSM6999034,21,GasbE751028,E75,early mesoderm
GSM6999035,21,GasbE751029,E75,endoderm
GSM6999036,20,GasbE751030,E75,early mesoderm
GSM6999037,20,GasbE751031,E75,neural ectoderm
GSM6999038,20,GasbE751032,E75,ExE endoderm
GSM6999039,20,GasbE751033,E75,ExE ectoderm
GSM6999040,21,GasbE751034,E75,ExE endoderm
GSM6999041,21,GasbE751035,E75,ExE mesoderm
GSM6999042,20,GasbE751036,E75,ExE endoderm
GSM6999043,21,GasbE751037,E75,ExE mesoderm
GSM6999044,21,GasbE751038,E75,epiblast and PS
GSM6999045,21,GasbE751039,E75,ExE mesoderm
GSM6999046,21,GasbE751040,E75,ExE ectoderm
GSM6999047,20,GasbE751041,E75,ExE ectoderm
GSM6999048,21,GasbE751042,E75,ExE mesoderm
GSM6999049,20,GasbE751043,E75,ExE endoderm
GSM6999050,21,GasbE751044,E75,neural ectoderm
GSM6999051,21,GasbE751045,E75,neural ectoderm
GSM6999052,21,GasbE751046,E75,mitosis
GSM6999053,21,GasbE751047,E75,endoderm
GSM6999054,21,GasbE751048,E75,neural ectoderm
GSM6999055,21,GasbE751049,E75,mitosis
GSM6999056,20,GasbE751050,E75,neural ectoderm
GSM6999057,20,GasbE751051,E75,early mesoderm
GSM6999058,21,GasbE751052,E75,early mesoderm
GSM6999059,21,GasbE751053,E75,mitosis
GSM6999060,20,GasbE751054,E75,early mesenchyme
GSM6999061,21,GasbE751055,E75,early mesenchyme
GSM6999062,21,GasbE751056,E75,neural ectoderm
GSM6999063,21,GasbE751057,E75,ExE endoderm
GSM6999064,20,GasbE751058,E75,ExE ectoderm
GSM6999065,21,GasbE751059,E75,ExE ectoderm
GSM6999066,20,GasbE751060,E75,neural ectoderm
GSM6999067,21,GasbE751061,E75,ExE mesoderm
GSM6999068,21,GasbE751062,E75,ExE ectoderm
GSM6999069,21,GasbE751063,E75,epiblast and PS
GSM6999070,20,GasbE751064,E75,ExE endoderm
GSM6999071,20,GasbE751065,E75,ExE endoderm
GSM6999072,21,GasbE751066,E75,ExE ectoderm
GSM6999073,21,GasbE751067,E75,endoderm
GSM6999074,21,GasbE751068,E75,ExE ectoderm
GSM6999075,20,GasbE751069,E75,endoderm
GSM6999076,20,GasbE751070,E75,neural ectoderm
GSM6999077,21,GasbE751071,E75,early mesoderm
GSM6999078,21,GasbE751072,E75,early mesoderm
GSM6999079,21,GasbE751073,E75,neural ectoderm
GSM6999080,21,GasbE751074,E75,ExE ectoderm
GSM6999081,20,GasbE751075,E75,early mesenchyme
GSM6999082,21,GasbE751076,E75,ExE endoderm
GSM6999083,21,GasbE751077,E75,neural ectoderm
GSM6999084,20,GasbE751078,E75,mitosis
GSM6999085,21,GasbE751079,E75,ExE ectoderm
GSM6999086,20,GasbE751080,E75,mitosis
GSM6999087,21,GasbE751081,E75,neural ectoderm
GSM6999088,20,GasbE751082,E75,ExE endoderm
GSM6999089,21,GasbE751083,E75,early mesoderm
GSM6999090,21,GasbE751084,E75,early mesoderm
GSM6999091,20,GasbE751085,E75,ExE endoderm
GSM6999092,21,GasbE751086,E75,neural ectoderm
GSM6999093,21,GasbE751087,E75,neural ectoderm
GSM6999094,21,GasbE751088,E75,neural ectoderm
GSM6999095,21,GasbE751089,E75,ExE ectoderm
GSM6999096,20,GasbE751090,E75,ExE mesoderm
GSM6999097,21,GasbE751091,E75,early mesenchyme
GSM6999098,20,GasbE751092,E75,early mesoderm
GSM6999099,21,GasbE751093,E75,ExE ectoderm
GSM6999100,21,GasbE751094,E75,neural ectoderm
GSM6999101,21,GasbE751095,E75,endoderm
GSM6999102,21,GasbE751096,E75,ExE ectoderm
GSM6999103,20,GasbE751097,E75,ExE mesoderm
GSM6999104,21,GasbE751098,E75,mitosis
GSM6999105,21,GasbE751099,E75,early mesoderm
GSM6999106,21,GasbE751100,E75,ExE endoderm
GSM6999107,20,GasbE751101,E75,epiblast and PS
GSM6999108,21,GasbE751102,E75,neural ectoderm
GSM6999109,20,GasbE751103,E75,ExE ectoderm
GSM6999110,20,GasbE751104,E75,ExE ectoderm
GSM6999111,21,GasbE751105,E75,neural ectoderm
GSM6999112,21,GasbE751106,E75,blood
GSM6999113,21,GasbE751107,E75,neural ectoderm
GSM6999114,21,GasbE751108,E75,neural ectoderm
GSM6999115,20,GasbE751109,E75,epiblast and PS
GSM6999116,20,GasbE751110,E75,blood
GSM6999117,21,GasbE751111,E75,mitosis
GSM6999118,21,GasbE751112,E75,blood
GSM6999119,20,GasbE751113,E75,ExE ectoderm
GSM6999120,21,GasbE751114,E75,neural ectoderm
GSM6999121,21,GasbE751115,E75,ExE mesoderm
GSM6999122,21,GasbE751116,E75,ExE ectoderm
GSM6999123,21,GasbE751117,E75,ExE endoderm
GSM6999124,21,GasbE751118,E75,early mesoderm
GSM6999125,20,GasbE751120,E75,endoderm
GSM6999126,20,GasbE751121,E75,ExE ectoderm
GSM6999127,21,GasbE751122,E75,early mesoderm
GSM6999128,21,GasbE751123,E75,ExE endoderm
GSM6999129,21,GasbE751124,E75,ExE ectoderm
GSM6999130,21,GasbE751125,E75,mitosis
GSM6999131,21,GasbE751126,E75,early mesoderm
GSM6999132,21,GasbE751127,E75,ExE ectoderm
GSM6999133,21,GasbE751128,E75,ExE mesoderm
GSM6999134,20,GasbE751129,E75,ExE ectoderm
GSM6999135,21,GasbE751130,E75,early mesoderm
GSM6999136,20,GasbE751131,E75,ExE endoderm
GSM6999137,21,GasbE751132,E75,neural ectoderm
GSM6999138,20,GasbE751133,E75,neural ectoderm
GSM6999139,21,GasbE751134,E75,early mesoderm
GSM6999140,21,GasbE751135,E75,early mesoderm
GSM6999141,21,GasbE751136,E75,endoderm
GSM6999142,21,GasbE751137,E75,ExE mesoderm
GSM6999143,21,GasbE751138,E75,neural ectoderm
GSM6999144,20,GasbE751139,E75,blood
GSM6999145,20,GasbE751140,E75,ExE endoderm
GSM6999146,20,GasbE751141,E75,blood
GSM6999147,21,GasbE751142,E75,early mesoderm
GSM6999148,21,GasbE751143,E75,neural ectoderm
GSM6999149,21,GasbE751144,E75,ExE ectoderm
GSM6999150,21,GasbE751145,E75,mitosis
GSM6999151,21,GasbE751146,E75,ExE ectoderm
GSM6999152,20,GasbE751147,E75,blood
GSM6999153,20,GasbE751148,E75,ExE mesoderm
GSM6999154,21,GasbE751149,E75,mitosis
GSM6999155,21,GasbE751150,E75,neural ectoderm
GSM6999156,20,GasbE751151,E75,ExE endoderm
GSM6999157,21,GasbE751152,E75,neural ectoderm
GSM6999158,20,GasbE751153,E75,early mesoderm
GSM6999159,21,GasbE751154,E75,neural ectoderm
GSM6999160,21,GasbE751155,E75,blood
GSM6999161,21,GasbE751156,E75,ExE mesoderm
GSM6999162,21,GasbE751158,E75,early mesoderm
GSM6999163,21,GasbE751159,E75,blood
GSM6999164,21,GasbE751160,E75,neural ectoderm
GSM6999165,21,GasbE751161,E75,neural ectoderm
GSM6999166,21,GasbE751162,E75,ExE ectoderm
GSM6999167,20,GasbE751163,E75,endoderm
GSM6999168,20,GasbE751164,E75,ExE mesoderm
GSM6999169,21,GasbE751165,E75,ExE endoderm
GSM6999170,20,GasbE751166,E75,ExE endoderm
GSM6999171,21,GasbE751167,E75,neural ectoderm
GSM6999172,21,GasbE751168,E75,mitosis
GSM6999173,21,GasbE751169,E75,ExE ectoderm
