filename,chromosome_count,cellname,stage,celltype,filepath
GSM6998776,20,GasaE751185,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998776_GasaE751185.pairs.gz
GSM6998780,20,GasaE751189,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998780_GasaE751189.pairs.gz
GSM6998782,20,GasaE751191,E75,endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998782_GasaE751191.pairs.gz
GSM6998783,20,GasaE751192,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998783_GasaE751192.pairs.gz
GSM6998785,20,GasaE751194,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998785_GasaE751194.pairs.gz
GSM6998786,20,GasaE751195,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998786_GasaE751195.pairs.gz
GSM6998787,20,GasaE751196,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998787_GasaE751196.pairs.gz
GSM6998788,20,GasaE751197,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998788_GasaE751197.pairs.gz
GSM6998790,20,GasaE751198,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998790_GasaE751198.pairs.gz
GSM6998795,20,GasaE751199,E75,mitosis,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998795_GasaE751199.pairs.gz
GSM6998826,20,GasaE751205,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998826_GasaE751205.pairs.gz
GSM6998839,20,GasaE751207,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998839_GasaE751207.pairs.gz
GSM6998847,20,GasaE751209,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998847_GasaE751209.pairs.gz
GSM6998849,20,GasaE751212,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998849_GasaE751212.pairs.gz
GSM6998853,20,GasaE751216,E75,ExE mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998853_GasaE751216.pairs.gz
GSM6998857,20,GasaE751220,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998857_GasaE751220.pairs.gz
GSM6998859,20,GasaE751222,E75,epiblast and PS,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998859_GasaE751222.pairs.gz
GSM6998860,20,GasaE751223,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998860_GasaE751223.pairs.gz
GSM6998869,20,GasaE751232,E75,endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998869_GasaE751232.pairs.gz
GSM6998871,20,GasaE751234,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998871_GasaE751234.pairs.gz
GSM6998873,20,GasaE751236,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998873_GasaE751236.pairs.gz
GSM6998876,20,GasaE751239,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998876_GasaE751239.pairs.gz
GSM6998878,20,GasaE751242,E75,mitosis,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998878_GasaE751242.pairs.gz
GSM6998881,20,GasaE751246,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998881_GasaE751246.pairs.gz
GSM6998887,20,GasaE751252,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998887_GasaE751252.pairs.gz
GSM6998889,20,GasaE751254,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998889_GasaE751254.pairs.gz
GSM6998894,20,GasaE751260,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998894_GasaE751260.pairs.gz
GSM6998896,20,GasaE751262,E75,epiblast and PS,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998896_GasaE751262.pairs.gz
GSM6998897,20,GasaE751263,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998897_GasaE751263.pairs.gz
GSM6998900,20,GasaE751266,E75,early mesenchyme,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998900_GasaE751266.pairs.gz
GSM6998901,20,GasaE751267,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998901_GasaE751267.pairs.gz
GSM6998903,20,GasaE751269,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998903_GasaE751269.pairs.gz
GSM6998906,20,GasaE751272,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998906_GasaE751272.pairs.gz
GSM6998907,20,GasaE751273,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998907_GasaE751273.pairs.gz
GSM6998911,20,GasaE751277,E75,mitosis,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998911_GasaE751277.pairs.gz
GSM6998912,20,GasaE751278,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998912_GasaE751278.pairs.gz
GSM6998913,20,GasaE751279,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998913_GasaE751279.pairs.gz
GSM6998915,20,GasaE751281,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998915_GasaE751281.pairs.gz
GSM6998917,20,GasaE751283,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998917_GasaE751283.pairs.gz
GSM6998920,20,GasaE751288,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998920_GasaE751288.pairs.gz
GSM6998923,20,GasaE751291,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998923_GasaE751291.pairs.gz
GSM6998924,20,GasaE751292,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998924_GasaE751292.pairs.gz
GSM6998926,20,GasaE751294,E75,mitosis,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998926_GasaE751294.pairs.gz
GSM6998927,20,GasaE751295,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998927_GasaE751295.pairs.gz
GSM6998930,20,GasaE751298,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998930_GasaE751298.pairs.gz
GSM6998931,20,GasaE751299,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998931_GasaE751299.pairs.gz
GSM6998933,20,GasaE751301,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998933_GasaE751301.pairs.gz
GSM6998936,20,GasaE751304,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998936_GasaE751304.pairs.gz
GSM6998937,20,GasaE751305,E75,mitosis,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998937_GasaE751305.pairs.gz
GSM6998938,20,GasaE751306,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998938_GasaE751306.pairs.gz
GSM6998943,20,GasaE751311,E75,endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998943_GasaE751311.pairs.gz
GSM6998944,20,GasaE751312,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998944_GasaE751312.pairs.gz
GSM6998946,20,GasaE751314,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998946_GasaE751314.pairs.gz
GSM6998947,20,GasaE751315,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998947_GasaE751315.pairs.gz
GSM6998949,20,GasaE751317,E75,mitosis,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998949_GasaE751317.pairs.gz
GSM6998950,20,GasaE751318,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998950_GasaE751318.pairs.gz
GSM6998953,20,GasaE751322,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998953_GasaE751322.pairs.gz
GSM6998954,20,GasaE751323,E75,ExE mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998954_GasaE751323.pairs.gz
GSM6998956,20,GasaE751325,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998956_GasaE751325.pairs.gz
GSM6998964,20,GasaE751333,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998964_GasaE751333.pairs.gz
GSM6998967,20,GasaE751336,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998967_GasaE751336.pairs.gz
GSM6998968,20,GasaE751337,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998968_GasaE751337.pairs.gz
GSM6998969,20,GasaE751338,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998969_GasaE751338.pairs.gz
GSM6998971,20,GasaE751340,E75,ExE ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998971_GasaE751340.pairs.gz
GSM6998972,20,GasaE751341,E75,mitosis,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998972_GasaE751341.pairs.gz
GSM6998975,20,GasaE751344,E75,early mesenchyme,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998975_GasaE751344.pairs.gz
GSM6998976,20,GasaE751345,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998976_GasaE751345.pairs.gz
GSM6998978,20,GasaE751347,E75,early mesenchyme,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998978_GasaE751347.pairs.gz
GSM6998981,20,GasaE751350,E75,endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998981_GasaE751350.pairs.gz
GSM6998982,20,GasaE751351,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998982_GasaE751351.pairs.gz
